nail	mother	father	seeds	pop	blo
42	rui 33	naj 80	9	rui	B10
43	rui 34	agi 14	10	rui	B10
44	rui 26	neg 3	10	rui	B10
45	rui 21	naj 46	10	rui	B10
46	rui 36	rui 23	10	rui	B10
47	rui 18	rui 33	10	rui	B10
48	rui 37	rui 18	10	rui	B10
49	rui 34	naj 39	10	rui	B10
50	rui 12	pen 1	10	rui	B10
51	rui 2	agi 6	10	rui	B10
52	rui 47	agi 36	10	rui	B10
53	rui 29	neg 23	10	rui	B10
54	rui 21	agi 35	9	rui	B10
55	rui 3	neg 25	10	rui	B10
56	rui 33	pen 31	10	rui	B10
57	rui 45	neg 21	5	rui	B10
58	rui 31	rui 37	10	rui	B10
59	rui 43	rui 20	10	rui	B10
60	rui 45	pen 33	10	rui	B10
61	rui 34	pen 33	10	rui	B10
62	rui 23	neg 2	10	rui	B10
63	rui 23	pen 1	10	rui	B10
64	rui 29	rui 45	10	rui	B10
65	rui 3	naj 55	10	rui	B10
66	rui 29	agi 11	10	rui	B10
67	rui 42	naj 75	10	rui	B10
68	rui 3	agi 38	10	rui	B10
69	rui 29	naj 55	10	rui	B10
70	rui 33	agi 6	10	rui	B10
71	rui 46	agi 11	9	rui	B10
72	rui 39	neg 22	10	rui	B10
73	rui 26	agi 26	10	rui	B10
74	rui 36	pen 28	10	rui	B10
75	rui 46	naj 55	10	rui	B10
76	rui 31	naj 79	10	rui	B10
77	rui 29	mor 81	10	rui	B10
78	rui 26	naj 69	10	rui	B10
79	rui 45	rui 37	10	rui	B10
80	rui 39	pen 17	10	rui	B10
81	rui 44	neg 25	10	rui	B10
82	rui 29	pen 27	10	rui	B10
83	rui 3	pen 17	10	rui	B10
84	rui 2	naj 80	10	rui	B10
85	rui 47	neg 25	10	rui	B10
86	rui 44	pen 17	10	rui	B10
87	rui 43	naj 72	10	rui	B10
88	rui 33	neg 3	9	rui	B10
89	rui 46	pen 33	10	rui	B10
90	rui 22	agi 35	10	rui	B10
91	rui 23	agi 45	8	rui	B10
92	rui 10	rui 37	8	rui	B10
93	rui 35	pen 1	10	rui	B10
94	rui 39	naj 75	8	rui	B10
95	rui 34	rui 37	10	rui	B10
96	rui 31	agi 11	10	rui	B10
97	rui 2	rui 39	10	rui	B10
98	rui 47	pen 31	10	rui	B10
99	rui 43	pen 36	10	rui	B10
100	rui 39	rui 18	10	rui	B10
1	rui 2	neg 22	10	rui	B11
2	rui 3	naj 55	10	rui	B11
3	rui 39	pen 17	10	rui	B11
4	rui 33	agi 6	10	rui	B11
5	rui 20	naj 67	10	rui	B11
6	rui 4	neg 20	10	rui	B11
8	rui 46	agi 11	10	rui	B11
9	rui 35	rui 36	8	rui	B11
10	rui 10	rui 37	9	rui	B11
11	rui 26	naj 69	10	rui	B11
12	rui 37	rui 18	9	rui	B11
13	rui 29	neg 23	10	rui	B11
14	rui 47	pen 31	10	rui	B11
15	rui 45	naj 54	8	rui	B11
16	rui 36	rui 23	10	rui	B11
17	rui 18	rui 33	10	rui	B11
102	rui 47	rui 12	8	rui	B11
18	rui 25	agi 81	10	rui	B11
19	rui 21	agi 35	10	rui	B11
20	rui 45	agi 6	10	rui	B11
21	rui 25	rui 47	10	rui	B11
22	rui 4	rui 2	10	rui	B11
23	rui 29	mor 81	7	rui	B11
