nail	mother	father	seeds	pop	blo
8	agi 7	agi 8	10	agi	B16
9	agi 11	pen 32	8	agi	B16
10	agi 20	pen 17	10	agi	B16
11	agi 5	mor 28	10	agi	B16
12	agi 47	mor 64	10	agi	B16
13	agi 31	pen 15	10	agi	B16
14	agi 20	neg 27	6	agi	B16
15	agi 20	rui 45	4	agi	B16
16	agi 42	rui 47	7	agi	B16
17	agi 36	mor 78	10	agi	B16
18	agi 25	agi 6	10	agi	B16
19	agi 37	neg 2	10	agi	B16
21	agi 9	neg 3	10	agi	B16
22	agi 11	rui 33	8	agi	B16
24	agi 25	rui 21	10	agi	B16
25	agi 37	agi 11	9	agi	B16
26	agi 12	rui 39	10	agi	B16
27	agi 11	rui 23	10	agi	B16
28	agi 12	naj 72	9	agi	B16
29	agi 44	rui 23	10	agi	B16
20	agi 31	neg 18	10	agi	B16
30	agi 36	pen 17	8	agi	B16
31	agi 25	pen 39	10	agi	B16
32	agi 47	pen 15	10	agi	B16
34	agi 45	pen 27	9	agi	B16
35	agi 11	naj 72	10	agi	B16
36	agi 42	naj 73	10	agi	B16
37	agi 6	naj 84	10	agi	B16
38	agi 41	mor 69	9	agi	B16
39	agi 6	pen 29	10	agi	B16
40	agi 50	agi 5	10	agi	B16
41	agi 43	pen 32	8	agi	B16
42	agi 11	neg 25	10	agi	B16
43	agi 45	agi 11	9	agi	B16
44	agi 46	agi 25	10	agi	B16
45	agi 35	agi 18	5	agi	B16
46	agi 35	naj 83	10	agi	B16
47	agi 5	pen 12	10	agi	B16
48	agi 6	rui 21	10	agi	B16
50	agi 41	neg 25	10	agi	B16
51	agi 44	agi 18	10	agi	B16
52	agi 43	naj 72	10	agi	B16
53	agi 6	agi 39	9	agi	B16
54	agi 36	agi 11	8	agi	B16
55	agi 12	agi 41	7	agi	B16
56	agi 9	agi 48	10	agi	B16
57	agi 41	agi 43	10	agi	B16
58	agi 39	agi 6	8	agi	B16
59	agi 39	rui 20	10	agi	B16
60	agi 5	neg 18	8	agi	B16
62	agi 14	naj 69	9	agi	B16
61	agi 35	pen 29	7	agi	B16
63	agi 38	agi 48	8	agi	B16
64	agi 37	pen 17	10	agi	B16
65	agi 22	agi 8	5	agi	B16
66	agi 48	neg 18	5	agi	B16
67	agi 39	neg 3	10	agi	B16
68	agi 11	neg 14	9	agi	B16
69	agi 5	agi 12	10	agi	B16
70	agi 42	neg 27	10	agi	B16
71	agi 30	neg 3	10	agi	B16
72	agi 41	mor 78	10	agi	B16
73	agi 20	naj 82	9	agi	B16
75	agi 14	neg 20	8	agi	B16
76	agi 12	pen 32	10	agi	B16
77	agi 48	pen 17	5	agi	B16
78	agi 50	rui 39	10	agi	B16
79	agi 43	rui 23	9	agi	B16
80	agi 9	pen 17	10	agi	B16
81	agi 14	agi 37	10	agi	B16
82	agi 45	mor 22	10	agi	B16
83	agi 49	rui 39	10	agi	B16
84	agi 45	neg 27	8	agi	B16
85	agi 44	neg 27	7	agi	B16
86	agi 14	rui 47	6	agi	B16
87	agi 36	neg 17	5	agi	B16
89	agi 39	pen 29	10	agi	B16
90	agi 48	rui 23	10	agi	B16
92	agi 45	rui 23	10	agi	B16
93	agi 38	pen 23	10	agi	B16
94	agi 8	agi 41	6	agi	B16
95	agi 22	mor 75	9	agi	B16
96	agi 38	naj 84	8	agi	B16
97	agi 36	rui 23	10	agi	B16
98	agi 91	pen 32	10	agi	B16
100	agi 6	neg 25	10	agi	B16
49	agi 44	zon 6	10	agi	B16
74	agi 5	neg 27	10	agi	B16
91	agi 44	pen 35	9	agi	B16
7	agi 12	neg 25	9	agi	B16
23	agi 42	agi 1	6	agi	B16
33	agi 27	neg 3	6	agi	B16
99	agi 9	mor 52	10	agi	B16
88	agi 25	naj 69	10	agi	B16
5	agi 37	naj 80	10	agi	B16
1	cam 66	ses 40	10	cam	B17
2	cam 68	zon 2	10	cam	B17
3	cam 75	pen 8	10	cam	B17
4	cam 13	ses 4	10	cam	B17
5	cam 62	ses 61	10	cam	B17
6	cam 28	cam 31	10	cam	B17
7	cam 62	pen 32	10	cam	B17
8	cam 88	mor 26	10	cam	B17
9	cam 75	mor 78	10	cam	B17
10	cam 34	ses 61	10	cam	B17
11	cam 60	pen 27	10	cam	B17
12	cam 28	mor 30	10	cam	B17
13	cam 32	zon 15	10	cam	B17
14	cam 28	zon 18	10	cam	B17
15	cam 71	mor 70	10	cam	B17
16	cam 76	pen 17	9	cam	B17
17	cam 62	zon 18	10	cam	B17
18	cam 81	pen 28	10	cam	B17
19	cam 76	naj 75	9	cam	B17
20	cam 67	mor 30	10	cam	B17
21	cam 75	zon 15	10	cam	B17
22	cam 34	pen 32	10	cam	B17
23	cam 88	zon 17	10	cam	B17
24	cam 86	zon 18	9	cam	B17
25	cam 31	mor 27	9	cam	B17
26	cam 87	zon 2	10	cam	B17
27	cam 66	naj 83	10	cam	B17
28	cam 32	ses 30	10	cam	B17
29	cam 27	pen 27	10	cam	B17
30	cam 76	cam 66	9	cam	B17
31	cam 66	cam 68	10	cam	B17
32	cam 81	ses 68	10	cam	B17
33	cam 88	ses 31	10	cam	B17
34	cam 27	zon 26	10	cam	B17
35	cam 71	pen 32	10	cam	B17
36	cam 81	cam 82	10	cam	B17
37	cam 32	cam 69	10	cam	B17
38	cam 31	cam 76	10	cam	B17
39	cam 28	pen 25	10	cam	B17
40	cam 34	cam 77	10	cam	B17
41	cam 87	ses 74	10	cam	B17
42	cam 34	mor 71	8	cam	B17
43	cam 66	cam 82	10	cam	B17
44	cam 80	naj 83	10	cam	B17
45	cam 82	cam 80	10	cam	B17
46	cam 71	zon 15	10	cam	B17
47	cam 81	zon 26	10	cam	B17
48	cam 32	pen 24	9	cam	B17
49	cam 69	zon 15	10	cam	B17
50	cam 71	ses 63	10	cam	B17
51	cam 92	ses 77	10	cam	B17
52	cam 69	pen 32	10	cam	B17
53	cam 76	zon 16	10	cam	B17
54	cam 92	pen 28	10	cam	B17
55	cam 93	naj 83	10	cam	B17
56	cam 80	ses 43	10	cam	B17
57	cam 62	naj 72	10	cam	B17
58	cam 31	ses 63	10	cam	B17
59	cam 34	zon 18	10	cam	B17
60	cam 75	ses 63	10	cam	B17
61	cam 82	naj 70	10	cam	B17
62	cam 32	mor 27	10	cam	B17
63	cam 87	cam 80	10	cam	B17
64	cam 69	mor 2	10	cam	B17
65	cam 88	cam 92	10	cam	B17
66	cam 68	ses 28	10	cam	B17
67	cam 92	cam 88	9	cam	B17
69	cam 68	cam 66	10	cam	B17
70	cam 18	pen 32	9	cam	B17
71	cam 80	zon 5	10	cam	B17
72	cam 18	ses 28	10	cam	B17
73	cam 82	zon 26	8	cam	B17
74	cam 67	cam 34	10	cam	B17
75	cam 87	pen 27	10	cam	B17
76	cam 76	ses 67	10	cam	B17
77	cam 67	ses 28	10	cam	B17
78	cam 77	mor 78	10	cam	B17
79	cam 80	cam 92	10	cam	B17
80	cam 92	mor 26	10	cam	B17
81	cam 86	pen 32	9	cam	B17
82	cam 86	ses 61	10	cam	B17
83	cam 81	naj 80	10	cam	B17
84	cam 69	cam 75	10	cam	B17
85	cam 86	cam 82	10	cam	B17
86	cam 75	cam 66	10	cam	B17
87	cam 93	ses 76	10	cam	B17
88	cam 71	cam 76	10	cam	B17
89	cam 67	zon 16	10	cam	B17
90	cam 80	pen 27	10	cam	B17
91	cam 87	naj 70	10	cam	B17
92	cam 92	zon 17	9	cam	B17
93	cam 93	cam 68	10	cam	B17
94	cam 60	naj  83	10	cam	B17
95	cam 93	pen 25	10	cam	B17
96	cam 3	zon 18	10	cam	B17
97	cam 67	pen 32	10	cam	B17
98	cam 88	pen 14	10	cam	B17
99	cam 68	pen 32	10	cam	B17
100	cam 82	ses 28	10	cam	B17
1	cam 28	cam 31	10	cam	B18
5	cam 67	zon 16	10	cam	B18
2	cam 68	pen 32	10	cam	B18
3	cam 80	cam 92	10	cam	B18
4	cam 66	cam 68	10	cam	B18
6	cam 80	ses 43	10	cam	B18
7	cam 66	ses 40	10	cam	B18
101	cam 13	zon 21	10	cam	B18
80	cam 60	pen 27	10	cam	B18
8	cam 81	cam 82	10	cam	B18
9	cam 32	pen 24	10	cam	B18
10	cam 71	zon 15	10	cam	B18
11	cam 27	cam 92	10	cam	B18
12	cam 76	ses 67	10	cam	B18
13	cam 71	ses 63	10	cam	B18
14	cam 80	pen 27	10	cam	B18
15	cam 93	ses 76	10	cam	B18
16	cam 82	cam 80	10	cam	B18
17	cam 28	zon 18	10	cam	B18
18	cam 80	naj 83	10	cam	B18
19	cam 92	zon 17	10	cam	B18
20	cam 76	naj 75	10	cam	B18
21	cam 81	ses 68	10	cam	B18
22	cam 81	pen 28	10	cam	B18
23	cam 66	cam 82	10	cam	B18
24	cam 32	mor 27	10	cam	B18
25	cam 31	mor 27	10	cam	B18
26	cam 60	naj 83	10	cam	B18
27	cam 62	zon 18	10	cam	B18
28	cam 86	zon 18	10	cam	B18
29	cam 87	naj 70	10	cam	B18
30	cam 80	zon 5	10	cam	B18
31	cam 93	pen 25	10	cam	B18
32	cam 27	pen 27	10	cam	B18
33	cam 62	ses 61	10	cam	B18
34	cam 88	zon 17	10	cam	B18
35	cam 75	cam 66	10	cam	B18
36	cam 34	cam 77	10	cam	B18
37	cam 68	cam 66	10	cam	B18
38	cam 88	cam 92	10	cam	B18
39	cam 34	mor 71	10	cam	B18
40	cam 87	cam 80	10	cam	B18
41	cam 75	zon 15	10	cam	B18
42	cam 71	pen 32	10	cam	B18
43	cam 88	pen 14	10	cam	B18
44	cam 76	cam 66	10	cam	B18
45	cam 34	zon 18	10	cam	B18
46	cam 82	ses 28	10	cam	B18
47	cam 82	naj 70	10	cam	B18
48	cam 69	cam 75	10	cam	B18
49	cam 71	mor 70	6	cam	B18
50	cam 81	naj 80	10	cam	B18
51	cam 32	ses 30	10	cam	B18
52	cam 18	pen 32	10	cam	B18
53	cam 87	zon 2	10	cam	B18
54	cam 28	pen 25	10	cam	B18
55	cam 75	ses 63	10	cam	B18
56	cam 34	pen 32	10	cam	B18
57	cam 67	pen 32	10	cam	B18
58	cam 62	naj 72	10	cam	B18
59	cam 31	zon 18	10	cam	B18
60	 cam 92	cam 88	10	cam	B18
61	cam 92	mor 26	10	cam	B18
62	cam 31	ses 63	10	cam	B18
63	cam 81	zon 26	9	cam	B18
64	cam 93	naj 83	10	cam	B18
65	cam 27	pen 27	10	cam	B18
66	cam 32	cam 69	10	cam	B18
67	cam 86	ses 61	10	cam	B18
68	cam 86	pen 32	10	cam	B18
69	cam 68	zon 2	10	cam	B18
70	cam 93	cam 68	10	cam	B18
71	cam 18	ses 28	10	cam	B18
72	cam 68	ses 28	10	cam	B18
73	cam 86	cam 82	10	cam	B18
74	cam 75	pen 28	10	cam	B18
75	cam 66	naj 83	10	cam	B18
76	cam 69	pen 32	10	cam	B18
77	cam 67	mor 30	10	cam	B18
78	cam 71	cam 76	10	cam	B18
79	cam 75	mor 78	10	cam	B18
81	cam 87	ses 74	10	cam	B18
82	cam 82	zon 26	10	cam	B18
83	cam 88	mor 26	10	cam	B18
84	cam 32	zon 15	10	cam	B18
85	cam 67	ses 28	10	cam	B18
86	cam 76	pen 17	10	cam	B18
87	cam 69	zon 15	10	cam	B18
88	cam 92	pen 28	10	cam	B18
90	cam 88	ses 31	10	cam	B18
91	cam 27	zon 26	10	cam	B18
92	cam 34	ses 61	10	cam	B18
93	cam 76	zon 16	10	cam	B18
94	cam 62	pen 32	10	cam	B18
95	cam 31	cam 75	10	cam	B18
96	cam 28	mor 30	10	cam	B18
97	cam 92	ses 77	10	cam	B18
98	cam 69	mor 2	10	cam	B18
99	cam 77	mor 78	10	cam	B18
100	cam 13	ses 4	10	cam	B18
1	ses 60	cam 91	10	ses	B19
2	ses 24	zon 15	10	ses	B19
3	ses 78	pen 19	9	ses	B19
4	ses 42 	pen 19	10	ses	B19
5	ses 47	zon 26	10	ses	B19
6	ses 42 	ses 4	10	ses	B19
7	ses 76	pen 2	10	ses	B19
8	ses 68	naj 44	10	ses	B19
9	ses 76	cam 60	10	ses	B19
10	ses 61	cam 29	10	ses	B19
11	ses 4	naj 55	10	ses	B19
12	ses 80	pen 7	10	ses	B19
13	ses 61	mor 27	10	ses	B19
14	ses 28	pen 29	10	ses	B19
15	ses 72	zon 15	10	ses	B19
16	ses 4	pen 19	10	ses	B19
17	ses 27	pen 7	9	ses	B19
18	ses 68	pen 28	10	ses	B19
19	ses 9	cam 18	10	ses	B19
20	ses 64	cam 91	10	ses	B19
21	ses 4	cam 89	10	ses	B19
22	ses 76	ses 9	8	ses	B19
23	ses 64	pen 31	10	ses	B19
24	ses 81	cam 82	10	ses	B19
25	ses 68	cam 86	10	ses	B19
26	ses 9	mor 78	10	ses	B19
27	ses 26	zon 18	10	ses	B19
28	ses 40	cam 82	10	ses	B19
29	ses 45	cam 67	10	ses	B19
30	ses 78	zon 15	10	ses	B19
31	ses 74	ses 75	8	ses	B19
32	ses 24	ses 78	10	ses	B19
33	ses 81	mor 80	10	ses	B19
34	ses 61	zon 30	10	ses	B19
35	ses 43	cam 82	10	ses	B19
36	ses 69	cam 91	10	ses	B19
37	ses 9	cam 82	10	ses	B19
38	ses 43	mor 2	4	ses	B19
39	ses 27	ses 42	10	ses	B19
40	ses 81	ses 76	10	ses	B19
41	ses 72	ses 40	10	ses	B19
42	ses 9	ses 30	10	ses	B19
43	ses 25	ses 27	10	ses	B19
44	ses 74	naj 55	10	ses	B19
45	ses 26	ses 9	10	ses	B19
46	ses 29	cam 82	10	ses	B19
47	ses 45	ses 68	8	ses	B19
48	ses 27	cam 88	10	ses	B19
49	ses 42 	zon 15	10	ses	B19
50	ses 44	zon 15	10	ses	B19
51	ses 9	pen 17	10	ses	B19
52	ses 81	zon 16	10	ses	B19
53	ses 30	cam 82	10	ses	B19
54	ses 78	ses 4	10	ses	B19
55	ses 30	ses 28	10	ses	B19
56	ses 77	ses 67	10	ses	B19
57	ses 42 	cam 32	6	ses	B19
58	ses 45	zon 26	10	ses	B19
59	ses 28	zon 12	9	ses	B19
60	ses 30	zon 18	10	ses	B19
61	ses 77	naj 59	10	ses	B19
62	ses 26	cam 68	10	ses	B19
63	ses 24	pen 14	10	ses	B19
64	ses 28	ses 26	10	ses	B19
66	ses 68	zon 26	10	ses	B19
67	ses 80	ses 4	10	ses	B19
68	ses 65	cam 91	9	ses	B19
69	ses 80	zon 18	8	ses	B19
70	ses 28	cam 82	10	ses	B19
71	ses 43	ses 37	10	ses	B19
72	ses 4	zon 15	10	ses	B19
73	ses 60	naj 50	10	ses	B19
74	ses 24	mor 27	10	ses	B19
75	ses 62	naj 69	10	ses	B19
76	ses 67	pen 31	9	ses	B19
77	ses 63	cam 39	10	ses	B19
78	ses 47	ses 67	9	ses	B19
79	ses 61	ses 42	10	ses	B19
80	ses 76	pen 7	9	ses	B19
81	ses 40	zon 28	9	ses	B19
82	ses 26	naj 27	9	ses	B19
83	ses 45	pen 24	10	ses	B19
84	ses 62	pen 17	10	ses	B19
85	ses 43	zon 28	10	ses	B19
86	ses 76	naj 79	10	ses	B19
87	ses 31	mor 78	10	ses	B19
88	ses 28	naj 49	10	ses	B19
89	ses 78	mor 25	10	ses	B19
90	ses 60	pen 31	9	ses	B19
91	ses 65	mor 62	10	ses	B19
92	ses 26	pen 32	10	ses	B19
93	ses 40	naj 50	9	ses	B19
94	ses 30	mor 2	10	ses	B19
95	ses 45	naj 55	9	ses	B19
96	ses 30	pen 29	10	ses	B19
97	ses 63	zon 5	9	ses	B19
98	ses 65	zon 15	10	ses	B19
99	ses 77	pen 17	10	ses	B19
100	ses 81	pen 77	10	ses	B19
1	mor 70	naj 72	10	mor	B2
2	mor 38	neg 17	10	mor	B2
3	mor 81	naj 83	10	mor	B2
4	mor 27	rui 36	10	mor	B2
5	mor 70	mor 69	10	mor	B2
6	mor 78	naj 63	10	mor	B2
7	mor 73	agi 23	10	mor	B2
8	mor 73	mor 31	10	mor	B2
9	mor 75	naj 44	9	mor	B2
10	mor 52	naj 72	10	mor	B2
11	mor 29	zon 22	10	mor	B2
12	mor 7	neg 14	10	mor	B2
13	mor 30	rui 20	10	mor	B2
14	mor 30	naj 78	10	mor	B2
15	mor 68	pen 17	10	mor	B2
16	mor 29	naj 67	10	mor	B2
17	mor 80	neg 18	10	mor	B2
18	mor 66	naj 76	10	mor	B2
19	mor 71	pen 29	10	mor	B2
20	mor 76	pen 27	10	mor	B2
21	mor 75	agi 41	10	mor	B2
22	mor 27	agi 36	10	mor	B2
23	mor 66	mor 28	10	mor	B2
24	mor 22	neg 14	10	mor	B2
25	mor 58	pen 17	10	mor	B2
26	mor 31	mor 78	10	mor	B2
27	mor 57	rui 3	10	mor	B2
28	mor 7	pen 31	10	mor	B2
29	mor 39	pen 27	10	mor	B2
30	mor 82	pen 8	10	mor	B2
31	mor 28	neg 17	10	mor	B2
32	mor 29	agi 11	10	mor	B2
33	mor 68	mor 22	10	mor	B2
34	mor 7	pen 29	10	mor	B2
35	mor 76	neg 27	10	mor	B2
36	mor 39	mor 62	10	mor	B2
37	mor 75	pen 34	10	mor	B2
38	mor 75	mor 29	10	mor	B2
39	mor 31	naj 73	10	mor	B2
40	mor 57	neg 25	10	mor	B2
41	mor 31	pen 27	10	mor	B2
42	mor 57	naj 83	10	mor	B2
43	mor 82	mor 69	10	mor	B2
44	mor 72	naj 80	10	mor	B2
45	mor 57	pen 24	10	mor	B2
101	mor 78	pen 8	10	mor	B2
46	mor 31	rui 20	10	mor	B2
47	mor 72	mor 29	10	mor	B2
48	mor 71	agi 35	10	mor	B2
49	mor 78	mor 27	9	mor	B2
50	mor 68	naj 78	10	mor	B2
51	mor 74	naj 55	10	mor	B2
52	mor 80	agi 35	10	mor	B2
53	mor 72	neg 13	10	mor	B2
54	mor 81	rui 23	10	mor	B2
55	mor 52	rui 23	10	mor	B2
56	mor 74	mor 78	10	mor	B2
57	mor 58	neg 14	10	mor	B2
58	mor 75	neg 3	10	mor	B2
59	mor 82	neg 11	10	mor	B2
60	mor 22	mor 66	10	mor	B2
61	mor 58	agi 35	10	mor	B2
62	mor 22	naj 78	10	mor	B2
63	mor 78	agi 79	10	mor	B2
64	mor 52	pen 27	10	mor	B2
65	mor 57	mor 28	10	mor	B2
67	mor 28	pen 27	10	mor	B2
68	mor 30	mor 22	10	mor	B2
69	mor 39	rui 37	10	mor	B2
70	mor 22	pen 17	10	mor	B2
71	mor 38	naj 75	10	mor	B2
72	mor 72	pen 29	10	mor	B2
73	mor 69	pen 32	10	mor	B2
74	mor 75	zon 5	10	mor	B2
75	mor 74	pen 8	7	mor	B2
76	mor 76	agi 18	10	mor	B2
77	mor 69	agi 11	10	mor	B2
78	mor 76	mor 22	10	mor	B2
79	mor 26	zon 22	10	mor	B2
80	mor 73	neg 3	10	mor	B2
81	mor 28	rui 23	10	mor	B2
82	mor 69	mor 70	10	mor	B2
83	mor 72	agi 35	10	mor	B2
84	mor 30	neg 17	10	mor	B2
85	mor 69	naj 67	10	mor	B2
86	mor 26	mor 69	10	mor	B2
87	mor 28	mor 71	10	mor	B2
88	mor 26	naj 44	10	mor	B2
89	mor 28	naj 69	10	mor	B2
90	mor 69	neg 17	10	mor	B2
91	mor 82	naj 80	10	mor	B2
92	mor 70	pen 29	10	mor	B2
93	mor 52	mor 57	10	mor	B2
94	mor 70	rui 10	10	mor	B2
95	mor 52	neg 25	10	mor	B2
96	mor 75	neg 5	10	mor	B2
97	mor 28	pen 27	10	mor	B2
98	mor 27	mor 71	10	mor	B2
99	mor 31	neg 11	10	mor	B2
100	mor 80	naj 83	10	mor	B2
1	ses 63	zon 5	10	ses	B20
2	ses 81	zon 16	10	ses	B20
3	ses 9	pen 17	10	ses	B20
4	ses 30	zon 18	10	ses	B20
5	ses 40	zon 28	10	ses	B20
6	ses 80	pen 7	10	ses	B20
7	ses 67	zon 15	10	ses	B20
8	ses 43	mor 2	10	ses	B20
9	ses 45	naj 55	10	ses	B20
10	ses 78	cam 60	10	ses	B20
11	ses 4	cam 89	9	ses	B20
12	ses 43	zon 28	10	ses	B20
13	ses 9	ses 30	10	ses	B20
14	ses 64	pen 31	10	ses	B20
15	ses 45	ses 68	9	ses	B20
16	ses 28	naj 49	10	ses	B20
17	ses 65	cam 91	10	ses	B20
18	ses 27	ses 42	10	ses	B20
19	ses 45	zon 26	10	ses	B20
20	ses 31	mor 78	10	ses	B20
21	ses 40	cam 82	10	ses	B20
22	ses 68	pen 28	10	ses	B20
23	ses 4	zon 15	10	ses	B20
24	ses 26	ses 27	10	ses	B20
25	ses 78	mor 25	10	ses	B20
26	ses 28	pen 29	10	ses	B20
27	ses 9	cam 82	10	ses	B20
28	ses 81	pen 7	10	ses	B20
29	ses 61	cam 29	10	ses	B20
30	ses 27	cam 88	10	ses	B20
31	ses 78	pen 19	10	ses	B20
32	ses 78	zon 15	10	ses	B20
33	ses 64	cam 91	10	ses	B20
34	ses 40	naj 50	10	ses	B20
35	ses 43	ses 37	10	ses	B20
36	ses 62	pen 17	10	ses	B20
37	ses 67	pen 31	10	ses	B20
38	ses 61	mor 27	10	ses	B20
39	ses 43	cam 82	10	ses	B20
40	ses 81	cam 82	10	ses	B20
41	ses 47	zon 26	10	ses	B20
42	ses 28	cam 82	10	ses	B20
43	ses 24	pen 14	10	ses	B20
44	ses 63	cam 39	10	ses	B20
45	ses 42	zon 9	10	ses	B20
46	ses 61	ses 42	10	ses	B20
47	ses 24	ses 78	10	ses	B20
48	ses 76	pen 7	10	ses	B20
49	ses 69	cam 91	10	ses	B20
50	ses 62	naj 69	10	ses	B20
51	ses 26	ses 9	9	ses	B20
52	ses 61	zon 30	10	ses	B20
53	ses 30	pen 29	10	ses	B20
54	ses 65	zon 15	10	ses	B20
55	ses 9	zon 18	10	ses	B20
56	ses 81	ses 76	10	ses	B20
57	ses 80	mor 30	10	ses	B20
58	ses 77	pen 17	9	ses	B20
59	ses 45	cam 67	10	ses	B20
60	ses 80	ses 4	10	ses	B20
61	ses 72	zon 15	10	ses	B20
62	ses 26	naj 27	10	ses	B20
63	ses 42 	ses 44	10	ses	B20
64	ses 4	naj 55	10	ses	B20
65	ses 25	cam 82	10	ses	B20
66	ses 78	ses 4	10	ses	B20
67	ses 26	cam 68	10	ses	B20
68	ses 60	cam 91	10	ses	B20
69	ses 76	naj 79	10	ses	B20
70	ses 30	mor 2	10	ses	B20
71	ses 72	ses 40	10	ses	B20
72	ses 80	zon 18	10	ses	B20
73	ses 4	pen 19	10	ses	B20
74	ses 42 	cam 32	10	ses	B20
75	ses 81	mor 80	10	ses	B20
76	ses 27	pen 7	9	ses	B20
77	ses 26	zon 18	10	ses	B20
78	ses 68	zon  26	10	ses	B20
79	ses 30	cam 82	8	ses	B20
80	ses 77	ses 67	10	ses	B20
81	ses 68	cam 86	10	ses	B20
82	ses 74	ses 65	10	ses	B20
83	ses 9	mor 78	10	ses	B20
84	ses 42	pen 19	10	ses	B20
85	ses 28	zon 12	10	ses	B20
86	ses 45	pen 24	10	ses	B20
87	ses 76	pen 2	10	ses	B20
88	ses 62	ses 4	10	ses	B20
89	ses 60	naj 50	10	ses	B20
90	ses 77	naj 59	10	ses	B20
91	ses 44	zon 15	10	ses	B20
92	ses 30	ses 28	10	ses	B20
93	ses 68	naj 44	10	ses	B20
94	ses 60	pen 31	10	ses	B20
95	ses 28	ses 26	10	ses	B20
96	ses 74	naj 55	10	ses	B20
97	ses 76	ses 9	10	ses	B20
98	ses 65	mor 62	10	ses	B20
99	ses 47	ses 67	9	ses	B20
100	ses 26	pen 32	9	ses	B20
1	mor 31	mor 78	10	mor	B3
2	mor 22	mor 76	10	mor	B3
3	mor 74	naj 55	10	mor	B3
4	mor 75	naj 73	10	mor	B3
5	mor 22	neg 14	10	mor	B3
6	mor 70	mor 69	10	mor	B3
7	mor 75	pen 34	10	mor	B3
8	mor 39	mor 62	10	mor	B3
9	mor 76	mor 22	10	mor	B3
10	mor 28	neg 17	10	mor	B3
11	mor 26	naj 44	10	mor	B3
12	mor 52	pen 27	10	mor	B3
13	mor 73	agi 23	10	mor	B3
14	mor 71	agi 35	10	mor	B3
15	mor 26	rui 36	10	mor	B3
16	mor 58	agi 35	10	mor	B3
17	mor 28	mor 71	10	mor	B3
18	mor 66	naj 73	10	mor	B3
19	mor 75	naj 44	10	mor	B3
20	mor 57	mor 28	10	mor	B3
21	mor 72	neg 13	10	mor	B3
22	mor 68	mor 22	10	mor	B3
23	mor 30	mor 22	10	mor	B3
24	mor 74	pen 8	10	mor	B3
25	mor 26	zon 22	10	mor	B3
26	mor 75	neg 5	10	mor	B3
27	mor 52	naj 72	10	mor	B3
28	mor 72	pen 29	10	mor	B3
29	mor 81	naj 83	8	mor	B3
30	mor 68	pen 17	10	mor	B3
31	mor 57	pen 24	10	mor	B3
32	mor 73	neg 3	10	mor	B3
33	mor 31	naj 73	10	mor	B3
34	mor 28	pen 27	10	mor	B3
35	mor 57	rui 3	10	mor	B3
36	mor 58	pen 17	10	mor	B3
38	mor 72	agi 35	8	mor	B3
39	mor 72	mor 29	8	mor	B3
40	mor 29	agi 11	10	mor	B3
41	mor 78	mor 27	10	mor	B3
42	mor 73	mor 31	10	mor	B3
43	mor 70	naj 72	10	mor	B3
44	mor 69	naj 67	10	mor	B3
49	mor 71	pen 29	10	mor	B3
46	mor 78	agi 39	10	mor	B3
47	mor 76	agi 18	10	mor	B3
48	mor 80	agi 35	10	mor	B3
50	mor 52	rui 23	10	mor	B3
51	mor 30	rui 20	10	mor	B3
52	mor 38	naj 75	10	mor	B3
53	mor 29	zon 22	10	mor	B3
45	mor 75	zon 5	10	mor	B3
54	mor 81	rui 23	8	mor	B3
55	mor 31	pen 27	10	mor	B3
56	mor 66	mor 28	10	mor	B3
57	mor 75	neg 3	10	mor	B3
58	mor 82	mor 69	10	mor	B3
59	mor 22	naj 78	10	mor	B3
60	mor 82	neg 11	10	mor	B3
61	mor 70	rui 10	10	mor	B3
62	mor 39	pen 27	10	mor	B3
63	mor 82	pen 8	10	mor	B3
64	mor 76	neg 27	10	mor	B3
65	mor 30	neg 17	10	mor	B3
66	mor 73	pen 29	10	mor	B3
67	mor 27	agi 36	10	mor	B3
68	mor 27	mor 71	10	mor	B3
69	mor 29	pen 27	10	mor	B3
70	mor 72	naj 80	10	mor	B3
71	mor 68	naj 78	10	mor	B3
72	mor 30	naj 78	10	mor	B3
37	mor 26	mor 69	10	mor	B3
73	mor 39	rui 37	10	mor	B3
74	mor 69	mor 70	10	mor	B3
75	mor 57	naj 83	10	mor	B3
76	mor 82	naj 80	10	mor	B3
77	mor 29	naj 67	10	mor	B3
78	mor 52	neg 25	10	mor	B3
79	mor 38	neg 17	10	mor	B3
80	mor 69	neg 17	10	mor	B3
81	mor 31	rui 20	10	mor	B3
82	mor 74	mor 78	10	mor	B3
83	mor 52	mor 57	10	mor	B3
84	mor 69	agi 11	10	mor	B3
85	mor 22	pen 17	10	mor	B3
86	mor 7	pen 31	10	mor	B3
87	mor 80	neg 18	10	mor	B3
88	mor 31	neg 11	10	mor	B3
89	mor 75	agi 41	10	mor	B3
90	mor 69	pen 32	10	mor	B3
91	mor 76	pen 27	10	mor	B3
92	mor 7	neg 14	10	mor	B3
93	mor 28	naj 69	10	mor	B3
94	mor 80	naj 83	10	mor	B3
95	mor 57	neg 25	10	mor	B3
96	mor 75	mor 29	10	mor	B3
97	mor 78	pen 8	10	mor	B3
98	mor 58	neg 14	10	mor	B3
99	mor 28	rui 23	10	mor	B3
100	mor 70	pen 29	10	mor	B3
1	mor 78	agi 39	10	mor	B4
2	mor 75	agi 41	10	mor	B4
3	mor 73	neg 3	10	mor	B4
4	mor 26	naj 44	10	mor	B4
5	mor 75	neg 3	10	mor	B4
